desc,variable,value
除味炭包150g,scode,6930502422281
馬家手工面線（山藥味）,scode,4719869121257
馬家手工面線（原味）,scode,4719869121240
馬家手工面線（蕃茄味）,scode,4719869121974
馬家麵線（南瓜味）,scode,4719869121264
高山有機金針,scode,32150070
高鈣杏仁茶,scode,LCL0027
高鈣杏仁茶（袋裝）,scode,LCL0027A
高鈣杏仁茶（袋裝）,scode,LCL0200
高溫煮食油,scode,32100693
乾豆豉,scode,32140071
健康牙刷(6支),scode,35010425
健康食品福袋P1,scode,2017P1
健康食品禮籃H1,scode,2017H1
健康食品禮籃HI,scode,2018H1
健康時代-純濃豆漿粉（袋裝500g）,scode,TEAM-HES011
健康福袋2016039,scode,FB2016039
健康福袋201609,scode,FB201609
健康禮物包,scode,GIFT0112
健康禮物包,scode,GIFT18
健康禮物福袋,scode,PACK30
健絡通活絡油（旅行版）,scode,KLT
健絡通活絡油旅行裝,scode,GREEN2019
健源單色28格藥盒,scode,MS0013
參觀社企工作坊,scode,LEUNG
唯諾金裝鈣骨寶,scode,M00031
堅果醬,scode,32130034
堅果醬,scode,32130041
崇德發天然黑麥汁,scode,OFARM461
康源唐辛子竹酢保健貼2片,scode,CRCC-1325
康源茶籽墨旱蓮首烏洗髮露750ml,scode,CRCC-0019
康源透骨草田七活絡沐浴露1000ml,scode,CRCC-0027
康源黑豆人參當歸養潤洗髮露750ml,scode,CRCC-3279
康源檀香骨膠原沐浴露1000ml,scode,CRCC-0013
"康樂 250A(11"" x 26"") 片芯                                   ",scode,WH-250A
康樂日用大碼(10片),scode,WH0001
康樂日用中碼(10片),scode,WH-00080
康樂成人電子磅,scode,OD0001
康樂棉花棒,scode,OD0002
強生ONETOUCH血糖機套裝,scode,JJ0200
強生血糖紙Ultra Strip 50's,scode,JJ0001
強生血糖紙Ultra Strip 50's (N),scode,0000098N
強生血糖機(不可獨立買機)(N),scode,0001058N
強生血糖機(贈品）,scode,JJ0003
強生血糖機1盒+強生血糖紙(50's)2盒,scode,JJ0004
強生採血針Ultrasoft Lancet 100's,scode,JJ0002
強生採血針Ultrasoft Lancet 100's(N),scode,0000099N
彩色 輕按式 7格藥盒,scode,0000168
彩色4x7日 28格藥盒,scode,MS0012
彩色七日藥盒(每日一排四格),scode,MS0001
彩屏手機,scode,0001089
御品黃金海苔脆片,scode,4715409960768
排毒竹醋貼(4片),scode,0000062
排毒竹醋貼(5片),scode,0001050
探熱槍 (澳洲)  Medi Sain,scode,0000076
梅子果凍,scode,32050066
梅干菜,scode,32140057
梅津糖,scode,32051469
梅香醬蘿蔔,scode,32140385
梅粉,scode,32060034
梅棗酵素,scode,4712010361168
梅棗酵素,scode,NSF114
梅精果凍,scode,32052541
梅精軟糖,scode,32052404
梅醋,scode,32240085
涼麵醬,scode,32110173
淮山粉,scode,LCL0100
淮山餅,scode,LCL0047
淮山餅（試食2包裝）,scode,LCL0047A
淮山麵,scode,T-F004
淳味紅冰糖,scode,32120059
淳味黑糖糖塊,scode,32120073
添寧護你墊,scode,TN001
清潔服務,scode,SERVICE01
現金券,scode,CASHCOUPON
現金券,scode,CC0001
甜蜜鳳梨醋600ml/支,scode,4710783055154
甜辣醬,scode,32110258
盒裝黑木耳,scode,6927255479808
粒粒椰肉椰青水,scode,8852072900076
粒粒蘆薈椰青水,scode,8852072900090
細海鹽,scode,32110326
荷寶節日優惠套裝,scode,PT20140501
荷寶萬用活洛油 15ml,scode,PT16212
荷寶萬用活洛油 50ml,scode,PT0000175
荷寶優惠套裝 (活洛油+薄荷膏),scode,PT177
荷寶薄荷膏15gm,scode,PT16211
荷蘭ROYAL GREEN天然無味椰子油250ml,scode,RG01
荷蘭ROYAL GREEN天然無味椰子油500ml,scode,RG01A
荷蘭ROYAL GREEN天然無味椰子油500ml,scode,RG02
荷蘭ROYAL GREEN椰子花蜜糖,scode,RG03
蛋卷（香蕉）,scode,FRIEND03
蛋卷（原味）,scode,FRIEND01
蛋卷（粟米）,scode,FRIEND02
蛋卷（粟米）-獨立包裝,scode,FRIEND02A
袋裝式助聽器(西門子),scode,0001020
袋裝芝麻粉,scode,LCL8004
袋鼠牌暖貼 (每包10個),scode,0000255
軟式頸托 中碼,scode,0001002
"軟式頸扥 丰Foam Cervical collar, L size",scode,0000149
"軟式頸扥 丰Foam Cervical collar, medium size",scode,0000148
透氣乒乓球約束手套,scode,0000271
通粉（500g）,scode,CH05120053
速登大豆卵磷脂,scode,32190496
野菜糙米粥(10入),scode,32191639
陳年香柚茶,scode,4713327001686
陳年醋,scode,32110081
陳年薄荷油,scode,35010029
雀巢Compleat Chicken (雞味) 250ml ($375/箱/24 罐),scode,0000074
雀巢天源素Compleat237ml（CHICKEN),scode,M237
雀巢糖愈適,scode,M2018
雪之戀和風和風大福-黑糖,scode,TEAM-SNL020
雪之戀和風芝麻大幅,scode,TEAM-SNL021
雪之戀和風紅豆大幅,scode,TEAM-SNL022
雪之戀原味蛋卷,scode,TEAM-SNL081
雪花霜—滋潤乾燥皮膚,scode,0000111
雪花霜—滋潤乾燥皮膚100ml,scode,QV-011707
雪花霜—滋潤乾燥皮膚Q.V.Cream -250g,scode,QV-011708
雪花霜—滋潤乾燥皮膚Q.V.Cream -500g,scode,QV-011709
雪蓮子麵筋,scode,32140392
麥芽糖,scode,KAMKEE01
麥芽糖餅,scode,CAKE01
麥麩蘇打餅 400g,scode,32040609
麥蘆卡13+蜂蜜喉糖(原味),scode,32052565
麥蘆卡13+蜂蜜喉糖(薑及紫錐花味),scode,32052589
麥蘆卡13+蜂蜜喉糖(檸檬蜂蜜味),scode,32052572
麻油當歸細麵(8入),scode,32021097
麻油腐乳130g,scode,TEAM-EXC081
麻油腐乳-300g,scode,4710783053150
麻辣包,scode,32110012
麻鑽農坊牛蒡片300g,scode,NSF20
傘餅,scode,32041354
喂食用奶樽接駁喉,scode,OFBC001A
喂食用奶樽駁喉,scode,OFBC001
喜馬拉雅山岩鹽150g,scode,OFARM1452
單色4X7日28格藥盒,scode,MS5620
壺底豆鼓,scode,32140088
惠氏倍力加,scode,M0300
提子椰果汁,scode,CH0035
換購禮品（10元）,scode,S0010
換購禮品（15元）,scode,S0015
換購禮品（20元）,scode,S0020
換購禮品（5元）,scode,S0005
晶冰糖1公斤,scode,32120011
智能響鬧提示藥盒,scode,MS0002
智能響鬧提示藥盒(買10送1),scode,0000130
朝天辣椒王,scode,4710783063050
植物活力液,scode,ML03
植物燕麥奶,scode,32190397
減壓坐墊,scode,JSM-SIN-CF005
無花果月餅（獨立裝）,scode,MOON2014
無花果乾,scode,4713282763230
無背鋁質浴椅,scode,0000146
無背鋁質浴椅(可調較高度),scode,0001001
無患子多用途清潔液,scode,35020097
無患子洗髮乳,scode,35010364
無患子蜂膠潔牙液,scode,35010357
無菌不織布紗布片,scode,JSM-7105
無菌厚墊敷料,scode,JSM902
無菌敷料包,scode,JSM-100022
無鉛皮蛋,scode,HOME02
無糖小紅莓養生餅120g,scode,OFARM1791
無糖杏仁養生餅120g,scode,OFARM1811
無糖南瓜子養生餅,scode,OFARM1801
無糖納豆紅菊餅,scode,LCL1003
無糖蕎麥梳打餅,scode,LCL1004
無糖蕎麥蘇打餅（獨立包裝）,scode,LCL1004A
無糖螺旋藻梳打餅,scode,LCL1005
無糖螺旋藻蘇打餅（獨立包裝）,scode,LCL1005A
猴頭菇餅,scode,LCL904
琦家山藥玉米濃湯盒裝,scode,4713327297577
琦家山藥卷盒裝,scode,4713327184013
琦家山藥益力素,scode,4713327161625
琦家山藥養生濃湯盒裝,scode,4713327273632
琦家山藥養生燕麥粉盒裝,scode,4713327246445
琦家山藥養生薏仁粉400g,scode,4713327124095
琦家山藥養生薏仁粉盒裝,scode,4713327183993
番薯餅,scode,LCL0048
番薯餅（獨立包裝2包裝）,scode,LCL0048A
短扶手，座寬41CM 座高47CM,scode,0000277
筒裝蘋果乾 50g,scode,GT003
粟米棒（芝士）,scode,FRIEND05
粟米棒（原味）,scode,FRIEND04
紫米黑芝麻球,scode,32055719
紫花紋,scode,MC00929
紫無花果月餅（原味）,scode,4897030020018
紫菜,scode,LCL00030
紫薯酵母（10小包）,scode,4710960912270
紫薯酵母（獨立小包）,scode,4710960762271
腎怡康Renilon4.0(24/箱）,scode,M0003
菊花茶,scode,32180084
菜脯餅,scode,32055757
菠蘿乾,scode,8858945200052
華潤堂九製陳皮喉糖,scode,CRCC-0422
華潤堂牛蒡茶5克X15包,scode,CRCC-00001380
華潤堂加拿大花旗蔘片80克,scode,CRCC-20251
華潤堂半枝蓮蛇舌草精454g,scode,CRCC-2434
華潤堂竹鹽潤喉糖,scode,CRCC-0484
華潤堂杞子180克,scode,CRCC-0058
華潤堂昆侖雪菊1.5克X25包,scode,CRCC-1414
華潤堂胎菊,scode,CRCC-9159
華潤堂夏枯草精454g,scode,CRCC-2417
華潤堂夏桑菊沖劑10gX10袋,scode,CRCC-0060
華潤堂雪耳球200g,scode,CRCC-0035
華潤堂黑苦蕎麥茶3克X25包,scode,CRCC-0800
華潤堂精選龍眼肉300g,scode,CRCC-0041
華潤堂蜜煉枇杷糖,scode,CRCC-0419
華潤堂蟲草花（粗條）100g,scode,CRCC-0162
超大葡萄乾,scode,OFARM0250
超勁特靈平安膏,scode,PT0001
越南有機椰青水,scode,NICE02A
越南有機椰青水1000ml,scode,NICE03A
越南香米,scode,SEATC01
越南香米（試食裝）500g,scode,SCETC
越南香米500g,scode,KEN01
開水喉換扶手器,scode,0001013
開瓶器,scode,0000081
開瓶器,scode,SIL003
黃金地瓜糙米（8小包）,scode,4710960911129
黃金地瓜糙米（獨立小包）,scode,4710960761120
黃金百杏茶（獨立包裝）,scode,4713282760994
黃金蕎麥五穀棒（亞麻籽）,scode,4713435204016
黃金蕎麥五穀棒（南瓜）,scode,4713435203996
黃金蕎麥五穀棒（海苔）,scode,4713435204009
黃金蕎麥茶,scode,4715409960287
黃金韃靼面白鳳豆拌面（260g）,scode,4715409960737
黃金韃靼香菇拌面（260g）,scode,4715409960751
黑五穀豆漿（12小包）,scode,4710960912188
黑五穀豆漿（獨立小包）,scode,4710960762189
黑木耳玉露,scode,4711863783592
黑木耳乾,scode,32150018
黑谷粉,scode,LCL0008
黑豆粉,scode,LCL1006
黑豆粉ORGANIC,scode,32190137
黑豆黑芝麻奶粉,scode,LCL0091
黑豆轂粉,scode,4710960911198
黑豆轂粉（獨立小包）,scode,4710960761199
黑芝麻粉,scode,32190106
黑芝麻粉,scode,4710960882047
黑芝麻脆片,scode,32050035
黑芝麻粒,scode,32070026
黑芝麻軟糖,scode,32053999
黑芝麻糕（原味）,scode,4713435201268
黑芝麻糕（黑豆）,scode,4713435201282
黑芝麻糙米燕麥,scode,4710960762264
黑芝麻糙米燕麥（12小包）,scode,4710960912263
黑芝麻醬,scode,32110579
黑金剛花生,scode,32052749
黑金剛花生,scode,TEAM-BLA001
黑架黑布大轆輪椅,scode,FHW-1120(BWB)-01
黑糖冬瓜茶,scode,F06
黑糖冬瓜茶,scode,FD10
黑糖四物轉,scode,LCL2008
黑糖老薑茶（18包）,scode,4710960778074
黑糖老薑茶（獨立小包）,scode,4710960768075
黑糖沙琪瑪(無蛋),scode,32050493
黑糖果凍,scode,32050059
黑糖苦瓜茶,scode,FD05
黑糖梅,scode,32050110
黑糖陳皮檸檬,scode,FD07
黑轂精華,scode,0001127
傳話器 Kam Personal Talker Model PT-1,scode,0000078
傾斜式鋁質沐浴便廁椅,scode,HE1066R
圓片牛蒡茶,scode,4712417853556
圓形坐墊,scode,RT14210
塑膠植物盆栽,scode,FL01
奧地利有機果汁（紅菜頭）,scode,4897048860293
奧地利有機果汁（紅菜頭+蘋果）,scode,4897048860316
奧地利有機果汁（紅蘿蔔）,scode,4897048860309
意大利幼意大利粉,scode,8007255060058
意大利尖通粉,scode,8007255060980
意大利有機牛肝菌蕃茄醬,scode,GBF-IT6301
意大利有機黃金葡萄乾250g,scode,32061391
意大利有機葡萄乾,scode,32061390
意大利有機辣椒蕃茄醬,scode,GBF-IT6311
意大利有機羅勒蕃茄醬,scode,GBF-IT6312
意大利長通粉,scode,8007255130980
意大利粉,scode,8007255130058
意大利粉（500g）,scode,8007255060331
意大利葡萄籽油（1000ML)贈品,scode,8005305900385
意大利螺絲粉（500g）,scode,8007255060850
愛心小熊肥皂（禮盒裝）,scode,SOUP02
愛素寶ISOCAL(237ml）,scode,MM-ISOCAL
慈善福袋,scode,APLUS01
新竹米粉300克,scode,32021448
新竹米粉600g,scode,32020182
椰子油organic,scode,4806506175084
椰子油手作香皂（薄荷茶）,scode,8857121775544
椰子油手作香皂（薰衣草/綠茶蜜糖）,scode,TA6035
椰子油手作香皂-香茅味,scode,8857121775551
椰子油手作香皂-原味,scode,8857121775803
椰子花蜜漿-禮盒裝-30gX3,scode,TA6039
椰子酥150g,scode,32056358
椰子醬,scode,TB2018
椰奶,scode,NICE03
源和貴級油膏,scode,32110074
溫和潔膚潤露 1L,scode,QV-011749
溫和潔膚潤露 Q.V.Gentle Wash 250ml,scode,QV-011762
溫和潔膚潤露 Q.V.Gentle Wash 500ml,scode,QV-011748
滅蟲貼,scode,NICE01
瑞特血糖測試片,scode,4710627330140
瑞特血糖測試片,scode,4710627332151
瑞特血糖測試片25片（Rightest GS100),scode,0000097
瑞特血糖測試片50片（Rightest GS300),scode,0000094
瑞特血糖儀監測系統 (Rightest GM100),scode,0000093
瑞特血糖儀監測系統 (Rightest GM100),scode,0000096
瑞特採血針100支/盒,scode,0000095
碎花紋,scode,0000137
義式腰果鹹醬,scode,32130249
聖誕文具組合A1,scode,20161224A
聖誕文具組合A2,scode,20161224A2
聖誕裝飾系列-文具1,scode,XMAX03
聖誕裝飾系列-文具2,scode,XMAX04
聖誕裝飾系列-木製聖誕樹,scode,XMAX01
聖誕裝飾系列-聖誕卡,scode,XMAX02
聖誕樹(木製),scode,XMAS0001
腰果核桃粉,scode,LCL6569
腰果核桃粉400g,scode,OFARM1171
腰果粉,scode,LCL2007
腰果鹹醬夾心酥,scode,32054361
腳部鍛鍊單車,scode,MS-SC-WC20
腳部鍛鍊單車,scode,WH-DH080324
腳跟修護膏 100g,scode,0000121
腳跟修護膏 50g,scode,0000120
葡萄柚軟糖,scode,32052343
葡萄醋,scode,4710783055024
葡萄糖胺燕麥奶,scode,LCL0044
蜂花粉,scode,32240276
蜂蜜果凍條,scode,32052374
蜂蜜青草喉糖,scode,32050127
蜂膠枇杷潤喉糖,scode,4713435206348
補能素（箱）,scode,M0011
補能素Polycal(400G),scode,M0001
運動襪,scode,ECO-3006
電子血壓計,scode,0000088
電子血壓計（手腕型）,scode,0000089
電子血壓計（手腕型）,scode,0001028
電子血壓計（手臂型）,scode,0001027
電飯煲（愛心卡訂購貨品）,scode,ORDER2129
電話擴音器喇叭,scode,0000079
電療止痛機配件,scode,RT00004A
嘉頓芝麻梳打餅,scode,GARDEN01
嘉頓威化（小包裝）,scode,GARDEN003
嘉頓時時食（小包裝）,scode,GARDEN002
壽司醋,scode,NSF116
壽星公面線,scode,SSF02
壽桃牌全蛋面,scode,SSF503A
壽桃牌江門米粉,scode,SUN02
壽桃牌長壽盒裝麵線,scode,SSF-101
壽桃牌非油炸面6包裝,scode,SSFA06
壽桃牌洛神花茶55g,scode,SSF6606
壽桃牌蝦子麵,scode,SSF501
壽桃牌鮑魚面（12個裝）,scode,SSF12
壽桃黑豆茶55g,scode,SSF68115
寡糖餅乾 綜合穀片 108g,scode,32040432
寡糖餅乾─南瓜子 108g,scode,32040418
寡糖餅乾─蔓越莓 108g,scode,32040425
寡糖餅乾-胚芽蕎麥 108g,scode,32040531
實用手機,scode,0001091
摺合式助行架,scode,RS010F
碳之語炊飯碳,scode,GHSE205
福字禮品袋（細）,scode,BAG-H2501
福袋包裝費用,scode,PACK2017
福蔘寶（陳年柚子蔘）,scode,4713072500786
精美心型圖案福袋,scode,BAG-H2525U
精美索繩袋（細）,scode,BAG04
精美環保袋,scode,BAG02
精美環保袋（A4),scode,PACKAGE01
精美禮物袋（中）,scode,BAG-H3355
精美禮物籃連包裝彩帶（S),scode,PACK02
精美禮品袋（大）,scode,BAG-H13811
精選淮山250g,scode,CRCC-0045
精釀蜂蜜醋（600ml）,scode,4710783059169
綜合水果軟糖,scode,32054750
綜合海藻,scode,32170078
綜合堅果（袋）,scode,4713282766828
綜合濃湯(以上4款湯，每款2包),scode,32190038
綠豆,scode,0002101
綠茶薏仁糊,scode,TX1380
綠茶麵線,scode,32021004
綠話梅肉,scode,4710372950730
綠糧莊有機牛肝菌,scode,GBF-CM3000
綠糧莊有機冬菇,scode,GBF-CM2520
綠糧莊有機冬菇(大)120g,scode,GBF-CM2500
綠糧莊有機冬菇片,scode,GBF-CM2620
綠糧莊有機冬菇片（大）,scode,GBF-CM2600
綠糧莊有機全麥烏冬,scode,CU1300
綠糧莊有機花菇(大),scode,GBF-CM2000
綠糧莊有機烏冬,scode,CU1200
綠糧莊有機童花菇,scode,GBF-CM2300
綠糧莊有機黑木耳,scode,GBF-CM2800
綠糧莊有機蕎麥麵,scode,CU1100
綠糧莊有機糙米烏冬,scode,CU1400
綠糧莊有機麵全盒裝,scode,CU1800
維他Q版朱古力奶125ml,scode,VITA01
維他奶,scode,DR0002
維他純蒸餾水,scode,VITA002
維他菊花茶,scode,DR0001
維達10卷,scode,OD1001
維諾金裝鈣骨補,scode,M00030
臺灣中興米（試食贈品）,scode,100010020
臺灣府城擔仔面,scode,4714250009220
臺灣香米（1KG),scode,SUN01
臺灣臺南關廟面,scode,4714250009237
蒜蓉,scode,NSF201602
蒜蓉朝天辣椒110g,scode,4710783063067
輕按式7格藥盒,scode,0001103
輕按式7格藥盒(N),scode,0001103N
輕烘焙8珍堅果（袋裝）,scode,4713282763216
辣豆瓣醬,scode,32110289
辣味梅子醬 (微辣）,scode,32110364
遠年陳皮3兩/包,scode,IMP07
遠年陳皮4兩裝,scode,IBN08
"遠紅外線足踝護套 Multi-Ceramic Ankle Support, Extra Large Si",scode,0000158
"遠紅外線足踝護套 Multi-Ceramic Ankle Support, Large Size",scode,0000156
"遠紅外線足踝護套 Multi-Ceramic Ankle Support, Medium Size",scode,0000157
遠紅外線枕巾,scode,ECO-3002
遠紅外線護腕,scode,ECO-3007
"遠紅外線護膝 Multi-Ceramic Knee Support, Large Size",scode,0000155
"遠紅外線護膝 Multi-Ceramic Knee Support, Medium Size",scode,0000154
"遠紅外線護膝 Multi-Ceramic Knee Support, Small Size",scode,0000153
"遠紅外線護膝 Multi-Ceramic Knee Support, X Large Size",scode,00001566
酸辣麵,scode,32022445
銀耳,scode,NK002
銅鑼杭菊,scode,32190373
鳳梨水果軟糖,scode,32054408
鳳梨軟糖,scode,32051544
鳳梨酥,scode,4711402035038
鳳梨酥 (鴻福),scode,32030020
鳳梨酥禮盒,scode,32990423
鳳梨醋,scode,32180060
鳳梨鮮果乾,scode,32052657
墨西哥有機蜜糖560g,scode,GBF-ME1382
廚房消毒濕紙巾,scode,ECO107
彈力多皮蛋（贈品）,scode,4714981110035
德國有機亞麻仁油(智慧有機體),scode,32100273
德國啤酒酵母粉,scode,32210019
歐姆龍OMRON手腕式血壓計,scode,NS-HEM-6200
歐姆龍OMRON全自動手臂式電子血壓計,scode,NS-HEM-7200
歐姆龍OMRON全自動手臂式電子血壓計JPN500(附贈品）,scode,NS-JPN500
歐姆龍手腕式血壓計6131,scode,HEM-6131
歐姆龍手臂式血壓計7121(會員特價）,scode,HEM-7121
歐姆龍手臂式血壓計7130,scode,HEM-7130
潔膚皂 Q.V. Bar 100g,scode,0001038
潔膚潤露,scode,0000112
潔膚潤露,scode,0000113
潔膚潤露 Q.V.Wash - 250ml,scode,0001035
潔膚露(1000ML),scode,QV-011717
潤志極品干貝醬（辣）,scode,NSF1002A
潤志極品乾貝醬,scode,NSF1002
潤志辣椒醬,scode,NSF1003
潤唇油 15g,scode,0000107
潤唇油 Q.V.Lip Balm 15g,scode,QV-011716
潤膚浴油 1L,scode,0001031
潤膚浴油—嬰兒、成人合用,scode,0000108
潤膚浴油—嬰兒、成人合用,scode,0000109
潤膚浴油—嬰兒、成人合用Bath Oil- 250 ml,scode,0001032
稻森-台灣苗粟花辦面-400g,scode,4714250009244
"練力蛋,軟(橙色)",scode,0001007
"練力蛋,極軟(淺橙色)",scode,0001006
練力膠(軟度),scode,03401
練力膠(超軟度),scode,03400
膠原蛋白有機燕麥奶,scode,7000015
膠原蛋白有機燕麥奶,scode,LCL0031
蓮蓉粽,scode,GHSE2002
蓮藕芝麻（獨立小包）,scode,4710960762035
蓮藕芝麻糊,scode,4710960912034
蔬菜拉麵,scode,32020236
蔬菜餅 (獨立包裝),scode,LCL900A
蔬菜餅（小包）,scode,LCL00044
蝴蝶粉,scode,8007255112016
調味便當菜 (微辣）,scode,32140132
養生十轂牛扎糖,scode,32054415
養生綜合堅果300g,scode,OFARM391
養生薈有機黃金亞麻籽,scode,IBN01
養生薈有機黃金亞麻籽454g,scode,IMP01
養生薈特粗蟲草花50g,scode,IBN28
澳洲SAGE敷料包,scode,JSM-1071
澳洲天然湖鹽 (簡單生活),scode,32110906
澳洲卡卡杜梅羊奶皂,scode,OFARM2621
澳洲有機湖鹽,scode,OFARM1341
澳洲玫瑰油精華羊脂護膚霜,scode,OFARM2651
澳洲袋鼠果羊奶皂,scode,OFARM2631
澳洲頂級大燕麥片,scode,LCL0026
燕麥-加楓葉糖漿及龍舌蘭蜜糖,scode,ME0612
燕麥麩粒,scode,0003010
燕麥麩精華,scode,LCL2001
燕麥糙米豆漿（12小包）,scode,4710960911273
燕麥糙米豆漿（獨立小包）,scode,4710960761274
燕窩雪蛤露（6支）,scode,4711140810089
糖蜜手工皂,scode,35010654
蕃茄拉麵,scode,32020243
蕃茄軟糖,scode,32052428
蕃茄義大利麵醬,scode,32110302
蕃茄酸辣湯,scode,32190021
蕃薯粉,scode,32021011
蕃薯乾,scode,OFARM201908
龍口小寬粉,scode,32090031
龍口細粉(冬粉),scode,32090024
龍眼肉,scode,32060119
龍眼蜂蜜800毫升,scode,32240016
優質天然小麥胚芽,scode,TX5030
優質獨立包裝小童口罩,scode,TC143467
優質獨立包裝幼童口罩,scode,4890008080137
優質獨立包裝成人口罩,scode,ABG9005
優質獨立包裝成人口罩（獨立包裝）,scode,4890008589005A
營養腎奶SUPLENA(237ML),scode,M0009
環保天然有機肥100g,scode,ML02
環保木顏色筆12色,scode,GIFT201702
環保肥皂（綠慧公社）,scode,GW002
環保洗手液,scode,GW1125
環保香橙肥皂,scode,LRML01
環保記事簿,scode,GREENSPARK-03
環保清潔服務,scode,SERVISE02
環保清潔液（500ml),scode,GW-1200
環保清潔液（地板）,scode,BYOB01
環保清潔液（廚房）,scode,BYOB02
環保清潔液5公升,scode,0001201
環保筆（水筆）,scode,PAN201602
環保熒光筆,scode,PAN201601
糙米米果 300g,scode,32050103
糙米米果 60g,scode,32050097
糙米豆漿,scode,4710960762288
糙米味噌湯,scode,32190472
糙米餅,scode,LCL0002
糙米麩豆漿（10小包）,scode,4710960912287
糙米縲絲粉,scode,GBF-TM2087
糙米薏仁酥,scode,32051476
糠尿護足襪 (甲殼),scode,0000085
糠尿護足襪 (銀離子),scode,0000086
薄荷皂,scode,35010227
薏仁粉,scode,4710960882078
薑母茶3粒裝,scode,FD08
薑汁黑糖,scode,0001118
薑汁黑糖塊（紅棗桂圓老薑）,scode,LCL903
薑油,scode,32100822
薯仔湯,scode,LCL0045
螺旋藻高鈣燕麥奶,scode,LCL0022
螺絲粉,scode,4897012640784
螺絲粉（1kg）,scode,8007255130850
購物車助行車,scode,JSM-WA-UEZ-020
轂堡五穀米1000g,scode,TEAM-GRA005
闊蛋面（250g）,scode,8007255160031
檸檬梅醋,scode,32240092
禮物包裝及送貨,scode,PACKING2017
禮物袋,scode,LU01
禮物袋,scode,P01
簡易手機,scode,0001083
藍色間條旅行裝毛毯,scode,0000030
藍梅果醬260g,scode,32130065
藍莓枸杞燕麥粥,scode,4710690301333
藍莓枸杞燕麥粥,scode,4710960301333
藍雀 (獨立式口罩),scode,GE-HFM5016PAA
藍雀 (獨立式口罩)X50PCS,scode,GE-HFM5016PA
藍雀口罩x50pcs,scode,GE-HFM5016
藍雀多功能體溫計,scode,GE0001
藍雀潔膚柔濕巾,scode,GE0002
藍雀潔膚柔濕巾XL,scode,GE-HYG5065
藍藻粉,scode,32240207
藍藻錠,scode,32240191
豐味蘇打餅-薑黃彩虹藜麥,scode,OFARM2001
醫生手套（JSM),scode,JSM001
雙面彩色燙畫拉鏈帆布袋,scode,INNO-2017
雜菜片,scode,GT06937
離子護手肘,scode,ECO-3005
爆米香（咖啡）,scode,4710960735282
爆米香（麥香）,scode,4710960735268
爆米香（蔓越莓）,scode,4710960735275
爆米香（醬油）,scode,4710960735817
爆米香112g（抹茶）,scode,4710960755525
爆米香112g（黑豆醬油）,scode,4710960755815
爆米香112g（鳳梨）,scode,4710960755532
爆米香112g（蔓越莓）,scode,4710960755426
爆轂,scode,CORN02
藜麥好棒-原味150g,scode,OFARM-2071
藥丸分割器,scode,ID-MB003
藥丸磨連藥盒(健源）,scode,MC-PB128
麗盈天然染髮劑-3,scode,RG003A
麗盈天然染髮劑-5,scode,RG005
麗盈天然染髮劑-6.35,scode,RG006.35
麗盈天然染髮劑-中啡色4,scode,RG008
麗盈天然染髮劑-朱古力啡色5.35,scode,RG009
麗盈天然染髮劑-紅褐色4.56,scode,RG007
麗盈天然染髮劑-栗子色6.35,scode,RG011
麗盈天然染髮劑-啡紅色4.03,scode,RG006
麗盈天然染髮劑-深金色6,scode,RG012
麗盈天然染髮劑-深啡色 3,scode,RG003
麗盈天然染髮劑-淺啡色5,scode,RG0010
麗盈天然染髮劑-黑色 1,scode,RG004
寶礦力,scode,NSF1004
蘆薈手工皂,scode,35010289
蘆薈止痛膏,scode,RT-000000017
蘆薈止痛膏(N),scode,0000201N
蘆薈花茶包,scode,T010
蘆薈茶包,scode,T004
蘆薈麵,scode,T-F007
蘇達洗潔粉,scode,35020073
蘇達洗潔粉補充包,scode,35020080
蘋果乾 10g,scode,GT001
蘋果乾 22g,scode,GT002
蘋果乾 22g 雜味套裝,scode,GT01374
蘋果醋,scode,01367
麵線450G,scode,32020205
蘭香子,scode,LCL2004
護理寶床墊紙 23X36 (10片裝),scode,WH0004
"護理寶酒精消毒紙(200片)1.5""X2.5""                            ",scode,0000265
護理寶蘆薈紙巾200x230MM,scode,WH-K00027
護腕 Coolmax Wrist Support,scode,MS0009
魔術貼護膝 XL,scode,SP-6126
魔術貼護膝 XXL,scode,SP-6127
魔術貼護膝L,scode,SP-6125
戀愛蘋果醋600ml/支,scode,4710783055192
纖維粉,scode,LCL0010
鷹記維他啤酒酵母薄片,scode,32210026
鹽烤腰果仁,scode,4713282766866
鹽焗腰果仁200g,scode,IPN04
"#2305 Traditional Walking Stick 36"" 古典型拐杖              ",bcode,000013
#67856 Safety Shield Tablet Cutter切藥器,bcode,025715678566
#71091-EZY DOSE 藥丸磨連藥盒(文化村）,bcode,025715710914
#7374C-Folding Frame Standard 可摺疊式助行架,bcode,000014
#7375C-Folding Frame Standard-可摺疊式助行架,bcode,
#7711C-Adj Support Sticks Swan Neck 鋁裝拐杖,bcode,000011
#7712C-Adj Support Sticks Swan Neck 鋁裝拐杖,bcode,
#HA0720 (10626) Long Handle Shoe Horn 穿鞋器,bcode,000018
（新）日本喜舒樂成人紙尿褲(薄裝)大碼(30片/包),bcode,4987603357303
"10""x15""                                                     ",bcode,679090500020
100%有機人參鬚,bcode,
100%有機加州甜杏仁 (無烘焙),bcode,
100%有機砂糖簡單生活,bcode,4712511470796
100％有機紅棗,bcode,4712511470529
100%純黑芝麻粉,bcode,4712067894725
10160C-Bathboard with Handle 浴室板有扶手,bcode,000017
