scode,bcode,bcode2,desc
LCL0005,4711601111199,4711601111199,牛蒡粥
4712417850241,4712417850241,,牛蒡黑豆茶（無糖）
32056075,4710626197416,,仙草凍340g
32052770,4712967083069,,仙草軟糖
4710960918180,4710960918180,,仙草龜苓膏
32240696,,,以倫天然桑椹原汁(無糖) - 無農葯栽培
32240863,4710945891217,,以倫有機桑椹原汁
T-H002,,,冬蜜
TX3218,TX3218,,冬蔭功糙米條
TX3319,8856977220086,8856977220086,冬蔭功糙米條
OBUSFORME,,,加拿大OBUS FORME高背墊
PACK201709,,,包裝費
32170092,,,北海道昆布
WH0005,000202,,古銅色四爪拐杖可詷高低
0000018,000010,,可切藥丸盒
FHW-T17-18,,,可拆背細轆輪椅
600001,9314839000937,,"可摺助行架雙扣""5"" (W62CMXH78-96CM)                          "
LCL0011,,,台灣山藥粉
LCL0017,,,台灣肉醬
32051667,,,台灣芒果乾
4713327255942,4713327255942,4713327255942,台灣阿里山有機黑木耳-150g
JML-V2,,,台灣氣墊床褥
4710812632417,4710812632417,,台灣破壁花粉125g
4710821632417,4710821632417,,台灣破壁蜂花粉 - 125g
SUN0002,4710783055086,,台灣排裝果醋（青梅）
SUN0001,4710783055048,,台灣排裝果醋（蜜桃）
SUN0003,4710783055123,,台灣排裝果醋（鳳梨）
OFARM2000,4719859741946,,台灣極品洛神烏梅飲
4710587312460,4710587312460,,台灣蜂王漿酵素 - 750ml
4710821632400,4710821632400,,台灣蜂王漿膠囊 (50粒)
4710587312477,4710587312477,,台灣蜂花粉酵素 - 750ml
TEAM-YIC009,4713327318432,4713327318432,台灣銀川有機白米1.2kg
TEAM-YIC010,4713327318449,4713327318449,台灣銀川有機糙米1.2kg
4710883100020,4710883100020,,四川豆豉380g
4710883100075,,,四川豆瓣醬
4710883100082,,,四川豆瓣醬
MS0015,,,四爪拐杖
0000273,000201,,"四爪拐杖  ,可詷較高度  ,內闊 (5""X4"")                        "
4712834112489,4712834112489,,四物小黑糖
0001019,9314839000913,,四腳拐杖
0000103,000071,,"失禁床墊 (丹麥ABENA 附18""護翼, 藍色)                        "
LCL0050,9555118749422,,奶鹽梳打餅
32054347,4711601139254,,巧克力米酥
32040951,4710531201086,,巧克力夾心酥
32052381,4716715000056,,布田芝麻糖
32052398,4716715000018,,布田花生糖
CHQ8040,000029,,布藝炭包 ( 250 克 )
BETADINE02,4897046660277,4897046660277,必妥碘冰涼消毒漱口水
BETADINE03,5291043000996,5291043000996,必妥碘消毒燙火膏
BETADINE01,4897046660161,4897046660161,必妥碘傷口殺菌液
PSY0001,4892309000050,,正冬蜜  (1000gm)
0000172,000122,,正冬蜜  (500gm)
SEIL024,GFL1010,,永升手腕式血壓計
35020059,,,永昇圃洗衣粉
4713398680018,4713398680018,4713398680018,玉米牛奶燕麥早餐（試食裝）
LCL0006,,,玉米湯
4713435206867,4713435206867,,生機蘇打餅（CHIA SEED）
4713435206935,4713435206935,,生機蘇打餅（黑芝麻）
4713435206942,4713435206942,4713435206942,生機蘇打餅（黑椒岩鹽）
32150872,,,白木耳
INP06,,,白貝木耳絲
32070019,,,白芝麻粒
32110203,4710425200034,,白芝麻醬
0001042,,,白金竹炭珍珠蜂膠牙膏
CHQ8048,4712764390735,,白金竹炭珍珠蜂膠牙膏
0001043,,,白金竹炭珍珠蜂膠洗髮精
CHQ0000053,4715597991186,,白金竹炭珍珠蜂膠洗髮精
0001041,,,白金竹炭蜂蜜珍珠皂
CHQ8049,4714076041459,,白金竹炭蜂蜜珍珠皂
4710372950679,4710372950679,,白話梅肉
ECO108,4897040130639,,皮革亮潔布
QV-11603,,,皮得露（1L)
9314839000034,9314839000034,,皮得露(200ml)
QV-011603,9314839000072,,皮得露1L
QV-011602,9314839000058,9314839000058,皮得露500ML
0000123,9314839001079,,皮得露沐浴油 200ml
0000122,000082,,皮得露浴露 500ml
0000124,000083,,皮得露浴露1000ml
QV-011719,9314839001451,9314839010415,皮膚露 Q.V.Skin Lotion 1L
QV-011715,9314839000904,9314839010392,皮膚露 Q.V.Skin Lotion 250mL
QV-011718,9314839010408,9314839010408,皮膚露500ml
0000203,000149,,石春鞋 (大碼)
RT00005,RT00005,000150,石春鞋 (中碼)
0000205,000151,,石春鞋 (細碼)
JML01,,,"休閒座椅（18"")                                              "
ECO103,4897040130196,,全天然活性碳包（大）-500g
ECO101,4897040130226,,全天然活性碳包（小）-150g
ECO102,4897040131216,,全天然活性碳包（中）-350g
ECO104,4897040130202,,全天然活性碳包（鞋用）
OFBC14FG,,,全矽膠胃喉
0000139,,,全黑手杖
4713282762158,4713282762158,,全穀物經典餐
OFARM791,4897014722860,4897014722860,冰原有機即溶大燕麥片
OFARM811,4897014722884,,冰原有機黑麥片500g
OFARM1653,4719859746958,,冰湖野米十穀米
ICE003,,,冰菠蘿
WINE02,,,合金紅酒開瓶器
32041347,4711202224656,,吉福小餅
GREENSPARK-01,,,回歸活動紀念廣告帽
CHQ8061,000028,,多功能竹炭包(2包/組)
0001039,,,多功能竹炭包(3包/組)
35020066,,,多功能橘油清潔劑
0000061,000037,,多用途竹炭片8片
0001049,,,多用途竹炭片9片
32054255,4710425202915,4710425202915,好麥起士薄燒
4897035940014,4897035940014,,安士滴血糖針
4897035940120,4897035940120,4897035940120,安士滴血糖針
CAR005,4897016856457,,安心寶成人（無香味）濕紙巾80片
CAR002,4897016856914,,安心寶-至尊裝成人尿片（10片*10包）-大碼
CAR001,4897016856907,,安心寶-至尊裝成人尿片（10片*12包）
CAR003,4897016852725,,"安心寶床墊60*90,10片"
CAR004,4897016850660,,安心寶藍色三層口罩-獨立裝
0000102,000070,,"安而康床墊紙 36"" X 24"" (10張/包)                            "
M0102,9415007005452,9415007005452,安怡長青（850g）
M0015,9415007005469,,安怡長青1.9kg
AKP001,9556001125480,,安康寶成人片心E006
AYK001,4891694405068,,安爾康10片（M)
0000035,000023,,安燕家燕麥800g (12包/箱)
MS0008,000105,,"扣鈕器及拉鍊輔助器, 黑色"
BAG01,,,收費膠袋
FHS-08,,,曲柄灰頭銀身黑腳四
WH-FS-912L,,,有前碌助行架
GBF-TX3010,8856977007861,,有機15果糧香脆條
TX3088,8856977902210,,有機15果糧香脆條(展銷盒)
TX3068,8856977902347,,有機15果糧香脆條(單條)
TX3030,8856977007885,,有機15果糧香糧脆粒
TX3111,8856977002842,,有機15果糧脆脆粒
TX508A,8856977220017,,有機３色胚芽米片
TX1090,8856977002163,,有機3色發芽米糊
TX501A,8856977001784,,有機８穀片
32240559,,,有機人蔘紅棗茶
32140156,,,有機八寶粥
LCL0032,4711601950200,,有機十穀即食燕麥片
OFARM1203,4897014726936,,有機三色藜麥454g
OFARM-GW1530,4897014727681,,有機三色藜麥片250g
32240269,,,有機三葉草蜂蜜(1000g)
32240153,4897021313013,,有機三葉草蜂蜜(250g)
32240252,,,有機三葉草蜂蜜(500g)
32151077,4712511474602,,有機大黑棗 300g
32190557,4711601970949,,有機大燕麥片
32190281,,,有機五穀粉 - 有糖(家庭用)
32191790,,,有機五穀粉(10小包)
32240627,,,有機木瓜檸檬酵素
OFARM1091,4719859742189,,有機木耳膠原飲
TC1002,8859060300092,8859060300092,有機冬陰功（椰漿及泰國青檸檬）
0001110,4891690000609,,有機玄米片
32070699,4712511474749,,有機甘津
OFARM2019005,4897014722358,,有機甘栗仁
NSF01,4710799300125,4710799300125,有機白米米粉
32111057,,,有機白胡椒粉
32021356,4712060121255,,有機全麥面
32111033,,,有機肉桂粉
108027,720379501273,,有機西梅
NSF09,723153634327,723153634327,有機西梅汁
32100389,,,有機冷壓亞麻籽油
TX1030,8856977000077,,有機即沖朱古力8穀營養餐
TX1150,8856977100067,8856977100067,有機即沖朱古力8穀營養餐
TX1240,8856977100012,,有機即沖朱古力8穀營養餐
GBF-TX1310,8856977100128,8856977100128,有機即沖芝麻8穀營養餐
TX1130,8856977000985,,有機即沖芝麻8穀營養餐
TX1220,8856977100036,,有機即沖芝麻8穀營養餐
GBF-TX1320,8856977100050,8856977100050,有機即沖芝麻8穀營養餐(無糖)
TX1140,8856977000930,,有機即沖芝麻8穀營養餐(無糖)
TX1230,8856977100043,,有機即沖芝麻8穀營養餐(無糖)
TX1040,8856977000022,,有機即沖蕓呢那8穀營養餐
OFARM910,,,有機即食杞子
32191363,,,有機即食黑麥片
32191288,,,有機即食綜合穀麥片
OFARM-1370,4897014727049,,有機即溶苔麩片250g
108028-1,720379501181,,有機杏脯果乾
32191813,,,有機決明子茶
32182453,4711574558144,4711574558144,有機豆奶
LCL0025,000212,,有機豆奶粉
LCL00025A,,,有機豆奶粉（袋裝）
0001112,4891690000611,,有機豆瓣醬（大）
NK003,6921204802488,6921204802488,有機豆瓣醬（細）
111001-2,852697001484,,有機乳酪
32220070,,,有機亞麻仁子
GBF-TA6002,8857121775285,,有機初榨冷壓椰子油473ml
GBF-TA6003,,,有機初榨冷壓椰子油-710ml
GBF-TA6001,8857121775278,,有機初榨椰子油207ml
GBF-TA6000,8857121775261,8857121775261,有機初榨椰子油25ml
0000501,5400164120050,,有機咖啡
NSF108,089836187635,,有機咖喱
32183344,4711476001113,,有機奇亞籽桑椹飲
NSF109,7503021714572,,有機岩鹽
ME6026,,,有機果醬
TC5002,8859060300290,8859060300290,有機芝麻粒
32182361,4710336106944,,有機芭樂汁
T12,,,有機花生
NSF13,4891489222153,4891489222153,有機花生350g
32061284,4712511474855,4712511474855,有機金黃葡萄乾
32060676,,,有機青綠葡萄乾
TC2001,8859060300245,8859060300245,有機青檸粉
TH0060,8854843000138,,有機帝皇菜糙米面(special off)
32150094,,,有機枸杞子
32220056,,,有機洋薏仁
32240603,,,有機洛神龍珠果酵素
32054798,4710587524191,,有機活力米香捲
NSF16,4891489011184,,有機眉豆1lb
NK0001,6937313004880,,有機秋木耳（小盒）
32181562,,,有機紅石榴藍莓汁
32181586,,,有機紅石榴藍莓汁
NSF15,4891489222184,4891489222184,有機紅豆
NSF10,4897014722662,4897014722662,有機紅豆350g
32183689,4711574558380,,有機紅豆奶360ml/瓶
TC1001,8859060300061,8859060300061,有機紅咖喱（椰漿+甜羅勒）
WINE003,000215,,有機紅酒2002
WINE001,5400164100205,,有機紅酒2008
WINE002,5400164100212,,有機紅酒2009
32220032,,,有機紅薏仁
32140477,4710336106333,4710336106333,有機紅薏仁綠豆湯
NSF08,4891489000577,4891489000577,有機美國即沖麥片
OFARM082,4897014726363,,有機美國紫無花果乾
TX5130,8856977002057,,有機胚芽水果多穀早餐
TX5132,8856977002064,,有機胚芽朱古力多脆塊
TX5131,8856977002040,,有機胚芽朱古力多穀早餐
TX502A,8856977002019,,有機胚芽紅米穀片
TX503A,8856977002033,,有機胚芽糙米穀片
NSF110,7503021714589,,有機茄汁
2017O1,,,有機食品福袋O1
2017O2,,,有機食品福袋O2
2017O3,,,有機食品禮籃O3
TC2002,8859060300221,8859060300221,有機香茅粉
0001115,4891690000614,,有機香料
NSF107,089836186102,,有機香草
TX333C,8856977001883,,有機香菇胚芽米粥 (3包)
TX203A,8856977001982,,有機香菇胚芽米粥（試食裝）
TX2080,8856977200040,,有機香菇菠菜胚芽米粥
32120196,,,有機香醇黑糖
32150841,,,有機埃及豆(雪蓮子)
GBF-CM3260,6935953593627,6935953593627,有機姬松茸
32070071,,,有機核桃 (無烘焙)
32053081,4710940002199,,有機桑椹果粒凍
NK0006,,,有機海帶片
NK006,6942059601088,,有機海帶絲
32190526,,,有機烏龍茶
4713810112578,,,有機烏龍茶
32181371,,,有機純紅石榴汁
32181364,4860009001011,,有機純紅石榴汁 314ml
32181739,4713810112585,,有機茶佳葉龍茶 (無糖)
32181654,,,有機茶烏龍 (無糖)
111001,852697001477,,有機乾乳酪-草莓
PACK20170209,,,有機健康禮籃
32190366,,,有機梅精
108311,600760000410,,有機甜脆粟
35010272,,,有機荷荷芭油
TX202A,8856977001920,,有機速食野菜紅米粥
TX333B,8856977001821,,有機速食野菜紅米粥 (3包)
TX201A,8856977001975,,有機速食紫菜紅米粥
TX333A,8856977001876,,有機速食紫菜紅米粥 (3包)
32240122,,,有機麥蘆卡蜂蜜(1000g)
32240160,,,有機麥蘆卡蜂蜜(250g)
32240115,,,有機麥蘆卡蜂蜜(500g)
0001117,4891690000616,,有機提子乾
32183726,4711574558540,,有機無糖豆乳360ml
GBF-CM261,6935953593122,,有機猴頭菇
TX3090,8856977009919,,有機發芽米糊**香蕉及南瓜
TX3091,8856977009810,,有機發芽米糊**香蕉及菠菜
NSF17,4897031569950,,有機發芽黃豆
4897014723768,4897014723768,,有機發芽糙米1kg
LCL0046,,,有機發酵果汁（蘋果味，蜜桃味，紅梅味）
0002004,9314839000908,,有機粟米
TX333D,8856977001807,,有機粥- 3款合1
32140522,,,有機紫米八寶粥
32140552,4710336106678,,有機紫米八寶粥
LCL0028,000213,,有機紫菜
NK009,6932394805319,,有機紫菜60g
TX2040,8856977001777,,有機紫菜芝麻
32150735,,,有機菊花
0002001,9314839000906,,有機菜 2
0002002,9314839000907,,有機菜 3
0002007,,,有機菜（4等）
0002008,,,有機菜（5等）
0002005,,,有機菜（三等）
0002000,9314839000905,,有機菜1
SUN201602,,,有機菠蘿脆片
4713327255997,4713327255997,,有機雲耳玉露(低糖)
4713327256000,4713327256000,,有機雲耳玉露（低糖）
4713327255966,4713327255966,,有機雲耳玉露(原味 )
4713327255980,4713327255980,,有機雲耳玉露（原味）
TC5004,8859060300320,8859060300320,有機黃豆
NSF12,4897014722679,4897014722679,有機黃豆350g
32110135,,,有機黃豆薄鹽醬油
TC1003,8859060300115,8859060300115,有機黃咖喱（椰漿）
32150124,,,有機黃耆
NK007,6927255479846,,有機黑木耳
NSF14,4891489000386,4891489000386,有機黑米350g
LCL901,,,有機黑豆黑芝麻奶粉
32110142,,,有機黑豆醬油
TX5050,8856977003016,,有機黑芝麻
GBF-TX3020,8856977001845,,有機黑芝麻米糧香脆條
TX3040,8856977001852,,有機黑芝麻香脆粒
TX5060,8856977003009,,有機黑芝麻粉
TX1050,8856977001029,,有機黑芝麻糊
TX1060,8856977001098,,有機黑芝麻糊(加薑)
TX1010A,8856977000053,,有機黑芝麻糊（獨立包裝）
32111064,,,有機黑胡椒粉
NSF07,4891489000614,4891489000614,有機黑麥
32220100,,,有機黑麥仁
32181968,,,有機黑麥汁(悅心)
NSF11,4891489081033,4891489081033,有機黑糖1lb
NSF201610,,,有機黑糯米1kg
TA6011,,,有機椰子果醋240ml
104123,018787505014,,有機椰子油(斯里蘭卡)
TS1002,8857121775735,,有機椰子花蜜
32120349,4712511473568,,有機椰子花蜜糖
TA6023,,,有機椰子花糖
TA6018,,,有機椰子醬
ME6226,7503011915163,,有機椰奶粉（購買椰子油473ml，以$10換購）
ME6016,,,有機椰糖
32070088,,,有機腰果 (無烘焙)
32180190,,,有機葡萄柚汁
32070781,4712511474886,,有機蜂蜜杏仁腰果
32241174,4712511472592,,有機補氣茶
32191875,,,有機綜合果仁麥片
32070064,,,有機綜合堅果 (無烘焙)
32183009,4711574560147,4711574560147,有機綜合蔬果汁
32070095,,,有機綜合養生果仁
TC5005,8859060300276,8859060300276,有機綠豆
TX1070,8856977001166,,有機綠茶薏仁糊
GBF-CM3220,6935953593610,6935953593610,有機舞茸
32111040,,,有機辣椒粉
TC4001,8859060300498,8859060300498,有機辣椒醬200ml
NK0002,6954704602142,,有機銀耳（小盒）
32181234,,,有機鳳梨汁
32180213,,,有機鳳梨胡蘿蔔汁
4715862530492,,,有機鳳梨脆片
TH0150,8854843000503,8854843000503,有機熱情果醬220g
32150834,,,有機蓮子
32180251,,,有機蔬果汁
32182170,4711574560130,,有機蔬果汁 350mL
GBF-IT6310,8021115290225,,有機燒茄子蕃茄醬
32220117,,,有機燕麥仁
LCL0012,,,有機燕麥果麥片
LCL301,4711601135294,4711601135294,有機燕麥面（即沖）
32120066,,,有機糖蜜
32181975,,,有機蕃茄汁
32111156,,,有機蕃茄醬
LCL300,4711601135300,4711601135300,有機蕎麥面（換購品）
GBF-ME0108,7503021714213,7503021714213,有機龍舌蘭蜜660g
GBF-ME0106,7503023604079,,有機龍舌蘭蜜糖
TH0140,8854843000502,8854843000502,有機龍神花果醬22g
NSF06,4891489000942,4891489000942,有機糙米 1lb<新豐>
NSF201601,4897014722082,,有機糙米1kg（OFARM)
32052245,9555235990103,9555235990103,有機糙米小圈圈（巧克力）
GBF-TB1068,8858785400803,,有機糙米脆餅-奇異籽
GBF-TB1062,8858785400827,,有機糙米脆餅-海鹽香醋
GBF-TB1066,8858785400780,885878540078,有機糙米脆餅-黑米
GBF-TB1069,8858785400810,,有機糙米脆餅-綠茶海苔
GBF-TB1063,8858785400834,,有機糙米脆餅-酸忌廉韭菜
32041040,4715104270131,,有機糙米餅
32190069,,,有機糙米麩(無糖)
202010-3SX3,4897021311286,,有機糙米纖維粉3包裝
202010-3,9555487901087,,有機糙米纖維粉8包裝
TX1080,8856977100111,8856977100111,有機薏仁糊(無糖)
0002006,,,有機薑
2018O3,,,有機禮籃O3
32110111,,,有機醬油
GBF-ME2016,7503021714701,,有機藜麥300g
32240610,,,有機蘆薈百香果酵素
4715862530522,,,有機蘋果脆片
SUN201601,,,有機蘋果脆片
0000275,000203,,有轆可摺助行架 W44X H78-96CM
0000126,000085,,有鎖掣切藥丸器
0001128,9314839000923,,有鎖掣切藥丸器，透明綠
0000126N,000085N,,有鎖掣切藥丸器，透明藍(N)
FHS-02,,,灰頭銀身灰腳手杖
4710960912225,4710960912225,4710960912225,百合杏仁粉（16小包）
4710960762226,4710960762226,4710960762226,百合杏仁粉（獨立小包）
T-H003,,,百花蜜
0000173,000123,,百花蜜  (500gm)
32130324,4710383000097,,百香果醬
35020110,,,竹炭包
GW001,4891690000623,,竹炭包（中）
CHQ2012,000046,,竹炭包特惠裝 (四件套裝)
0000051,000030,,竹炭石鹼(3件裝)
CHQ0002,000032,,竹炭防滑坐墊
0001047,,,竹炭眼罩
CHQ8039,000033,,竹炭眼罩
0000070,000043,,竹炭酥  200克
0001055,,,竹炭酥  201克
CHQ0005,4712764390223,,竹炭調整型連指護腕A1-203F
CHQ0004,4712764390216,,竹炭調整型護腕A1-202F
CHQ0007,000044,,竹炭鞋墊
32191820,,,竹香咖啡(濾泡式)
6930,6930502423479,,竹碳碳包
GHSE6931,6930502422014,,竹碳碳包
35020158,,,竹醋液
CHQ8034A,9556001125505,,竹醋貼（8片)
32040043,4710879000983,4710879005582,米餅 280g
4710783088718,4710783088718,,米醋100ml
0000281,000209,,老人椅 BS-7176 防火標準附餐托板及活動腳踏
A0001101,4947678266412,0001101,老花鏡
4710960778081,4710960778081,4710960778081,老薑母茶（18小包）
4710960768082,4710960768082,4710960768082,老薑母茶（獨立小包）
32190410,,,老薑母茶粉
32190403,2710030822012,,老薑母茶塊
OFARM1241,,,老薑黑糖轉310g
WH-8013,4711769145166,,肌力拉筋帶(5M)
WH-8015,,,肌力拉筋帶(紫色)5M
WH-8016,4711769145197,,肌力拉筋帶(銀色)5M
0000047,000027,,自走用輪椅鼓式?車(重11.5kg)
8000002,9556001125484,,自動吹氣墊
32110944,,,自然風素拌醬
LCL200503,4714221818325,,自然素材-山葵脆餅
LCL200502,4714221818318,,自然素材-胡椒脆餅
LCL200501,4714221818523,,自然素材-蒜香脆餅
LCL200504,4714221818530,,自然素材-蔥燒脆餅
35020103,,,衣物溫和漂白劑
ECO105,4897040130233,,衣櫃用碳包130g
WYT6661,4891811320274,,位元堂中醫防掉髮洗髮露（防屑配方）
WYT6660,4891811320267,,位元堂中醫防掉髮洗髮露（烏髮配方）
WYT6658,4891811320250,4891811320250,位元堂中醫防掉髮洗髮露（強韌配方）
WYT6528,4891811332185,4891811332352,位元堂五指毛桃燉雞湯320g
WYT3859B04,4891811312866,,位元堂包裝精選鯰魚膠
WYT5199A,4891811348643,4891811348643,位元堂原味龜苓膏200g
WYT7113,4891811365862,,位元堂唧唧龜苓爽（秋梨味）250g
WYT7111,4891811365787,4891811365787,位元堂唧唧龜苓爽（原味）250g
WYT7112,4891811365794,4891811365794,位元堂唧唧龜苓爽（椰果味）250g
WYT7139,4891811365893,,位元堂唧唧龜苓膏250g(菊花）
WYT6526,4891811332161,4891811332338,位元堂猴頭菇響螺燉雞湯320g
WYT6529,4891811332178,4891811332345,位元堂當歸紅棗燉烏雞320g
WYT6527,4891811332192,4891811332369,位元堂瑤柱蟲草燉湯320g
WYT6376B01,4891811312996,,位元堂精選蟲草花（2兩裝）
WYT7788,4891811332123,,位元堂鮑汁螺片
WYT6521,,,位元堂龜苓膏2杯裝（士多啤梨味）100g
WYT6522,,,位元堂龜苓膏2杯裝（奇異果）100g
WYT6523,4891811348766,,位元堂龜苓膏2杯裝（提子味）100g
WYT6524,4891811348773,,位元堂龜苓膏2杯裝（藍莓味）100g
WYT7115,4891811365725,4891811365725,位元堂雙層潤喉軟糖（川貝枇杷配方）
WYT7117,4891811365732,4891811365732,位元堂雙層潤喉軟糖（蜂膠八仙果配方）
WYT7116,4891811365749,4891811365749,位元堂雙層潤喉軟糖（蜂膠羅漢果配方）
WYT5200A,4891811348650,4891811348650,位元堂靈芝龜苓膏200g
RT7201,RT7201,,冷熱墊28X11CM
RT7207,RT7207,,冷熱墊42X36.5CM
0000125,000084,,利秘樂口服液 200ml
QV-091201,9088881296034,,利秘樂口服液 200ml-有助排便之果糖漿 Laevolac - 200ml
CH01040216,,,助行手推車
TX1330,,,即沖朱古力8轂營養餐
32240061,,,吟香梅汁
JSM-WLD-010L,,,坐墊JML1
TEAM-HYA007,,,宏亞蜜蘭諾-可可8入
TEAM-HYA008,4710098163193,,宏亞蜜蘭諾-杏仁千層8入
TEAM-HYA006,4710098163650,,宏亞蜜蘭諾-楓糖8入
WH-G00041,,,希必定消毒藥水25包/盒
0000101,000069,,"床墊紙 17"" X 24"" (10張/包)                                  "
0000100,000068,,"床墊紙 23"" X 36"" (10張/包)                                  "
8000003,9556001125485,,床褥
M0005,0043900225104,,快凝寶
FHA-MI-MPT,,,折背大輪手動輪椅（紅18吋）
32040944,4711945790074,,杏仁海苔酥
32041460,4711945737185,,杏仁海苔酥
32190090,4710425200409,,杏仁粉
LCL00022,,,杏仁糊
LCL0043,,,杏仁糊
JM-NOT-F19480,,,"沖涼扶手24""                                                 "
32110197,,,沙茶醬
32140019,,,秀山榨菜 (即食)
MS0010,4710958592033,,"肘關節矽膠墊片護套 Coolmax Tennis Elbow Support, One size fi"
8859164275043,,,角角香蕉片（BBQ）
8859164275036,8859164275036,,角角香蕉片（芝士玉米）
8859164275029,8859164275029,,角角香蕉片（原味）
32040906,4711202223512,,豆脆片
471078306074,471078306074,,豆豉香魚辣椒
4710783063135,4710783063135,,豆豉香魚辣椒240
4710783063098,4710783063098,,豆豉朝天辣椒
ECO-3004,,,足跟墊/對
0000072,000045,,車用頸枕
35010128,4710494051216,,里仁天然無泡沫牙膏144g
35010432,4710494053968,,里仁天然無泡沫牙膏50g
32210057,,,里仁有機蔬果酵素原液(無糖)
32210064,,,里仁有機轉型期蔬果酵素(有糖)
35010135,4710494050196,,里仁無泡沫牙膏
32040029,4710126010437,,里仁煎餅(杏仁)特價
ECO-3001,,,防褥瘡坐墊
LCL2006,,,亞麻仁籽
LCL0001A,4710984562093,,亞麻仁養生薄餅
LCL0001,9555021804874,,亞麻籽水果酵素餅
32054743,4712967086480,,亞麻堅果酥
M0010,7613033866999,7613033866999,佳膳（糖尿配方）
M0007,9314839000922,,佳膳奶粉（細罐）
M0014,7613032992194,,佳膳成人升級配方
M0014A,7613034773685,7613033869518,佳膳成人升級配方800G
M0017,7613032992033,,佳膳成人配方400g
M00078,7613034773661,,佳膳成人配方奶粉400g
MM001,,,佳膳糖尿配方
M10065,7613033869570,,佳膳糖適400g
M10076,,,佳膳纖維400g
M0013,7613033859809,7613033844744,佳膳纖維配方
M0013A,7613033858574,,佳膳纖維配方400G
GIFT01,4895173212437,4895173212437,使立消（士多啤梨味）慈善換購價
M100553424,7613032991937,,兒童佳膳400G
0002009,,,其他有機菜2
LCL8029,,,初榨椰子油473ml
IC4002,4897024471079,4897024471079,刺痛靈 潘氏鎮痛膏
32170252,,,味付海苔(原味)
NSF113,4711175000943,,味榮有機香醇腐乳
NSF111,4711175000677,,味榮有機乾豆豉
NSF112,4711175000684,,味榮有機濕豆豉
32020281,4710589440482,,味噌沖泡麵
NK008,6921204802495,,和然有機大豆瓣醬（800g）
NK001,6925843403662,,和然有機醬油（500ml）
32110234,,,咖哩粉
AAA00118-G,4897002230186,,"夜用金裝 ""護理寶""隨意貼成人紙尿片-大碼                      "
IBN102,4895158003104,,官燕棧花膠雪耳燉西施骨湯
IBN04,4895158008550,,官燕棧甜脆核桃
IBN101,4895158000868,,官燕棧猴頭菇燉響螺燉雞湯
IMP103,,,官燕棧當歸紅棗煲雞湯
IBN100,4895158000844,,官燕棧靈芝蟲草花燉雞湯
LCL0029,4710947381167,,岳盛小阿姨黑糖薑母茶
M0006,9314839000921,,怡保康400g
M3478,4891035043478,4891035043478,怡保康400g
NICE-C01,,,怡美軒寄賣產品
NICE-C02,,,怡美軒寄賣產品02
M0008,4891035043492,,怡寶康900G
0001104,4891690000605,,拐杖椅
0001000,,,拐杖椅(灰色)
MS0006,000099,,"拐杖腳, 四腳拐杖腳適用（灰色）19MM"
MS008,00000101,,"拐杖腳, 四腳拐杖腳適用（啡色）19MM"
MS0007,000100,,"拐杖腳, 四腳拐杖腳適用（黑色）19MM"
SIL002,6926292547877,,放大鏡指甲鉗 (日美牌) #B 690
SIL001,6921225467178,,放大鏡指甲鉗 (博友牌) #190
0000082,000054,,放大鏡趾甲鉗 # 185
0000083,000055,,放大鏡趾甲鉗 (纖巧型)
6000013,9556001125499,,放水圍裙
M00001,9556001125497,,明愛雙黃白蓮蓉月餅
ECO-C01,,,易康寄賣產品
IBN02,,,杭州胎菊75g
IMP03,4895158005559,,杭州胎菊75g
32182798,4716820880239,4716820880239,東南黑麥汁
CH01010138,,,松鶴片心(L）
CH1010136,4897012642542,,松鶴片心細碼（20片/包）
GT00120,819377000120,,板栗
108019,4719865061625,,枇杷羅漢果
00919,6928740700919,,果片餐
4710783055062,4710783055062,,果醋（青梅）
4710783058117,4710783058117,,果醋（桂花酸梅湯）
4710783058100,4710783058100,,果醋（極品烏梅）
4710783055093,4710783055093,,果醋（葡萄）
4710783055109,4710783055109,,果醋（蜜桃）
4710783055116,4710783055116,,果醋（鳳梨）
4710783055055,4710783055055,,果醋（蘋果）
4712834114193,4712834114193,,油切冷泡純綠茶
100010021,,,油切綠茶試飲包
32021172,,,泡菜麵
GHSE1123,4891690000622,,炊飯碳
32070125,4711946900755,,爭鮮天津有機甘栗（已剝殼）
32110883,4710425200249,,玫瑰岩鹽
LCL0007,,,玫瑰花
4712834114537,4712834114537,,玫瑰花茶
MC-SP-I-90838,4710958596703,,矽膠 3/4 掌墊  (中)
MC-SP-I-907M,4710958596734,,矽膠全掌墊 (37-38)
0000162,000115,,"矽膠全掌墊 (39, 40, 42, 44)"
MS0011,4710958596673,,矽膠足跟墊 (中)
0000282,000210,,肩膊矯形帶 (大碼)
32050486,4711202220504,,芝麻巧果
0002100,9314839000909,,芝麻粒
LCL0004,,,芝麻糊（獨立包裝）
NSF05,4897014723034,4897014723034,芬蘭有機-四合一燕麥片
NSF03,,,芬蘭有機-即溶燕麥片（大片）
NSF04,,,芬蘭有機-黑麥片
NSF02,4897014722877,4897014722877,芬蘭有機燕麥片
32055467,4710531101218,,花生巧克力
32130058,4710383001599,,花生醬
0000138,000096,,花紋手杖
0000136,000094,,"花紋拐杖,深木紋"
0000159,000113,,"花紋拐杖,深木紋"
0000135,000093,,"花紋拐杖,黑底碎花"
0000160,000114,,"花紋拐杖,碎花紋"
0001085,352988030778872,,花紋摺機
FD01,,,花茶（土象）
